factura_id,fecha,nombre,cliente_id,estado,condicion_pago,fecha_vencimiento,base_imponible,iva_total,total_factura
55,25/04/2026,El Club de las Brasas,422773001417,Pagado,21,16/05/2026,"37,68","7,9128","45,5928"
56,28/04/2026,CARNICERIA LA TRADICION,420906114262,,21,19/05/2026,"75,36","15,8256","91,1856"
57,28/04/2026,EL OMBU,428259928300,,21,19/05/2026,"206,22","43,3062","249,5262"
58,30/04/2026,NINAVIBES S.L.,422777310396,,21,21/05/2026,"169,56","35,6076","205,1676"
59,30/04/2026,NINAVIBES S.L.,422777310396,,21,21/05/2026,"37,68","7,9128","45,5928"
60,30/04/2026,Intercopy Color,428840853749,,21,21/05/2026,"41,28","8,6688","49,9488"
61,06/05/2026,Romancero,425349174471,,21,27/05/2026,"75,9","15,939","91,839"
62,07/05/2026,BODEGÓN KALIDAD,428801234142,Pendiente,21,28/05/2026,"224,151","47,07171","271,22271"
63,11/05/2026,MAXIMARKET,424539151597,Pagado,21,01/06/2026,"75,36","15,8256","91,1856"
64,11/05/2026,Romancero,425349174471,,21,01/06/2026,"75,9","15,939","91,839"
65,11/05/2026,Lo de Pocho,429557478613,Pendiente,21,01/06/2026,"168,54","35,3934","203,9334"
66,12/05/2026,Sabores fuengirola,415162838217,,21,02/06/2026,"93,18","19,5678","112,7478"
67,15/05/2026,Tinajas Tierra,420189971690,,21,05/06/2026,"93,18","19,5678","112,7478"
68,15/05/2026,Bar Atuel,415150265590,,21,05/06/2026,"160,626","33,73146","194,35746"
69,15/05/2026,NINAVIBES S.L.,422777310396,,21,05/06/2026,"93,18","19,5678","112,7478"
70,15/05/2026,NINAVIBES S.L.,422777310396,,21,05/06/2026,"37,68","7,9128","45,5928"
71,22/05/2026,PALADAR NEGRO S.L,431124761819,,21,12/06/2026,"2113,2","443,772","2556,972"
72,22/05/2026,NINAVIBES S.L.,422777310396,,21,12/06/2026,"55,5","11,655","67,155"
73,23/05/2026,LO DE POCHO,429557478613,,21,13/06/2026,"37,68","7,9128","45,5928"
74,26/05/2026,Las Tablas del Rey,423549031616,,21,16/06/2026,"71,592","15,03432","86,62632"
75,28/05/2026,Boc and Roll,416584819948,,21,18/06/2026,"130,86","27,4806","158,3406"
76,02/06/2026,Lo de Pocho,429557478613,,21,23/06/2026,"87,92","18,4632","106,3832"
77,15/06/2026,Lo de Pocho,429557478613,,21,06/07/2026,"75,36","15,8256","91,1856"
78,15/06/2026,KACHAFAZ SL,429007730890,,21,06/07/2026,0,0,0
79,15/06/2026,"LIZ, servicios hosteleros siglo XXI S.L",433124204736,,21,06/07/2026,"317,28","66,6288","383,9088"
80,19/06/2026,Marta Beatriz Aybar Carrera,434358732991,,21,10/07/2026,"93,18","19,5678","112,7478"
81,24/06/2026,Sabores fuengirola,415162838217,,21,15/07/2026,"-93,18","-19,5678","-112,7478"
82,25/06/2026,MAXIMARKET,424539151597,Pagado,21,16/07/2026,"75,36","15,8256","91,1856"
83,27/06/2026,NINAVIBES S.L.,422777310396,,21,18/07/2026,"50,24","10,5504","60,7904"
84,03/07/2026,MAXIMARKET,424539151597,,21,24/07/2026,"113,04","23,7384","136,7784"
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
,,,#N/A,,21,21,0,0,0
